dataset,n,p,model,nu,kernel,gamma,AUC,Accuracy,Precision,Recall,BalAcc,failure,contamination,n_estimators,n_neighbors,eps,min_samples,M
ring_outliers,1030,2,OneClassSVM,0.1,poly,0.1,0.1004999999999999,0.1951456310679611,0.0,0.0,0.1005,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.1,poly,1.0,0.7528333333333332,0.8339805825242719,0.1104972375690607,0.6666666666666666,0.7528333333333332,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.1,linear,scale,0.83,0.6699029126213593,0.081081081081081,1.0,0.8300000000000001,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,rbf,scale,0.9105,0.8262135922330097,0.1435406698564593,1.0,0.9105,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,rbf,auto,0.9115,0.8281553398058252,0.144927536231884,1.0,0.9115,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,rbf,0.001,0.9125,0.8300970873786407,0.1463414634146341,1.0,0.9125,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,rbf,0.01,0.9125,0.8300970873786407,0.1463414634146341,1.0,0.9125,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,rbf,0.1,0.911,0.8271844660194175,0.1442307692307692,1.0,0.911,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,rbf,1.0,0.911,0.8271844660194175,0.1442307692307692,1.0,0.911,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,poly,scale,0.5936666666666666,0.8388349514563107,0.0641025641025641,0.3333333333333333,0.5936666666666667,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,poly,auto,0.4175,0.8106796116504854,0.0,0.0,0.4175,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,poly,0.001,0.4036666666666666,0.4699029126213592,0.0186567164179104,0.3333333333333333,0.4036666666666666,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,poly,0.01,0.4031666666666666,0.4689320388349514,0.0186219739292365,0.3333333333333333,0.4031666666666667,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,poly,0.1,0.389,0.7553398058252427,0.0,0.0,0.389,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,poly,1.0,0.409,0.7941747572815534,0.0,0.0,0.409,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.2,linear,scale,0.7535000000000001,0.5213592233009708,0.0573613766730401,1.0,0.7535000000000001,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,rbf,scale,0.862,0.7320388349514563,0.0980392156862745,1.0,0.862,False,,,,,,
